TransactionID,AccountId,TransactionDateId,TransactionType,TransactionAmount,US_Cities_Id
201,ACCT-10002345,20220501,Deposit,500,83
202,ACCT-10005678,20220215,Withdrawal,200,83
203,ACCT-10007891,20220315,Deposit,300,59
204,ACCT-10001234,20221004,Withdrawal,-400,22
205,ACCT-10003456,20220430,Deposit,450,108
206,ACCT-10004567,20220520,Withdrawal,100,122
207,ACCT-10008901,20220625,Deposit,750,28
208,ACCT-10006789,20220507,Withdrawal,200,28
209,ACCT-10009876,20220815,Deposit,600,83
210,ACCT-10005432,20220109,Withdrawal,0,83
211,ACCT-10007654,20221210,Deposit,400,108
212,ACCT-10004321,20221111,Withdrawal,100,108
213,ACCT-10002134,20221225,Deposit,250,59
214,ACCT-10006543,20220115,Deposit,1000,22
215,ACCT-10003210,20220228,Withdrawal,-200,28
216,ACCT-10005478,20220314,Deposit,500,28
217,ACCT-10008765,20220422,Deposit,800,83
218,ACCT-10002301,20220530,Withdrawal,700,83
219,ACCT-10007621,20220615,Deposit,350,108
220,ACCT-10003489,20220720,Withdrawal,600,108
